Year,drug,equity,popularity,normalizedcountry,CV,label,Sport
2024,0.0,,,,,0,Rugby
1896,0.0,,,,,0,Rugby Sevens
1900,0.0,,,,,0,Rugby Sevens
1904,0.0,,,,,0,Rugby Sevens
1906,0.0,,,,,0,Rugby Sevens
1908,0.0,,,,,0,Rugby Sevens
1912,0.0,,,,,0,Rugby Sevens
1920,0.0,,,,,0,Rugby Sevens
1924,0.0,,,,,0,Rugby Sevens
1928,0.0,,,,,0,Rugby Sevens
1932,0.0,,,,,0,Rugby Sevens
1936,0.0,,,,,0,Rugby Sevens
1948,0.0,,,,,0,Rugby Sevens
1952,0.0,,,,,0,Rugby Sevens
1956,0.0,,,,,0,Rugby Sevens
1960,0.0,,,,,0,Rugby Sevens
1964,0.0,,,,,0,Rugby Sevens
1968,0.0,,,,,0,Rugby Sevens
1972,0.0,,,,,0,Rugby Sevens
1976,0.0,,,,,0,Rugby Sevens
1980,0.0,,,,,0,Rugby Sevens
1984,0.0,,,,,0,Rugby Sevens
1988,0.0,,,,,0,Rugby Sevens
1992,0.0,,,,,0,Rugby Sevens
1996,0.0,,,,,0,Rugby Sevens
2000,0.0,,,,,0,Rugby Sevens
2004,0.0,,,,,0,Rugby Sevens
2008,0.0,,,,,0,Rugby Sevens
2012,0.0,,,,,0,Rugby Sevens
2016,0.0,0.4949832775919732,0.0218439509059029,0.07,0.6744446589315136,1,Rugby Sevens
2020,0.0,,,,,0,Rugby Sevens
2024,0.0,0.5,0.0282463711259317,,,1,Rugby Sevens
1896,0.0,,,,,0,Sailing
1900,0.0,,,,,1,Sailing
1904,0.0,,,,,0,Sailing
1906,0.0,,,,,0,Sailing
1908,0.0,,,,,1,Sailing
1912,0.0,,,,,1,Sailing
1920,0.0,,,,,1,Sailing
1924,0.0,,,,,1,Sailing
1928,0.0,,,,,1,Sailing
1932,0.0,,,,,1,Sailing
1936,0.0,,,,,1,Sailing
1948,0.0,,,,,1,Sailing
1952,0.0,,,,,1,Sailing
1956,0.0,,,,,1,Sailing
1960,0.0,,,,,1,Sailing
1964,0.0,,,,,1,Sailing
1968,0.0,,,,,1,Sailing
1972,0.0,,,,,1,Sailing
1976,1.0,,,,,1,Sailing
1980,0.0,,,,,1,Sailing
1984,0.0,,,,,1,Sailing
1988,0.0,,,,,1,Sailing
1992,0.0,,,,,1,Sailing
1996,0.0,,,,,1,Sailing
2000,0.0,,,,,1,Sailing
2004,0.0,,,,,1,Sailing
2008,0.0,,,,,1,Sailing
2012,0.0,,,,,1,Sailing
2016,0.0,,,,,1,Sailing
2020,0.0,,,,,1,Sailing
2024,0.0,,,,,1,Sailing
1896,0.0,,,,,1,Shooting
1900,0.0,,,,,1,Shooting
1904,0.0,,,,,0,Shooting
1906,0.0,,,,,1,Shooting
1908,0.0,,,,,1,Shooting
1912,0.0,,,,,1,Shooting
1920,0.0,,,,,1,Shooting
1924,0.0,,,,,1,Shooting
1928,0.0,,,,,0,Shooting
1932,0.0,,,,,1,Shooting
1936,0.0,,,,,1,Shooting
1948,0.0,,,,,1,Shooting
1952,0.0,,,,,1,Shooting
1956,0.0,,,,,1,Shooting
1960,0.0,,,,,1,Shooting
1964,0.0,,,,,1,Shooting
1968,0.0,,,,,1,Shooting
1972,0.0,,,,,1,Shooting
1976,1.0,,,,,1,Shooting
1980,0.0,,,,,1,Shooting
1984,0.0,,,,,1,Shooting
1988,0.0,,,,,1,Shooting
1992,0.0,,,,,1,Shooting
1996,0.0,,,,,1,Shooting
2000,0.0,,,,,1,Shooting
2004,0.0,,,,,1,Shooting
2008,1.0,,,,,1,Shooting
2012,0.0,,,,,1,Shooting
2016,0.0,,,,,1,Shooting
2020,0.0,,,,,1,Shooting
2024,0.0,,,,,1,Shooting
1896,0.0,,,,,0,Short Track Speed Skating
1900,0.0,,,,,0,Short Track Speed Skating
1904,0.0,,,,,0,Short Track Speed Skating
1906,0.0,,,,,0,Short Track Speed Skating
1908,0.0,,,,,0,Short Track Speed Skating
1912,0.0,,,,,0,Short Track Speed Skating
1920,0.0,,,,,0,Short Track Speed Skating
1924,0.0,,,,,0,Short Track Speed Skating
1928,0.0,,,,,0,Short Track Speed Skating
1932,0.0,,,,,0,Short Track Speed Skating
1936,0.0,,,,,0,Short Track Speed Skating
1948,0.0,,,,,0,Short Track Speed Skating
1952,0.0,,,,,0,Short Track Speed Skating
1956,0.0,,,,,0,Short Track Speed Skating
1960,0.0,,,,,0,Short Track Speed Skating
1964,0.0,,,,,0,Short Track Speed Skating
1968,0.0,,,,,0,Short Track Speed Skating
1972,0.0,,,,,0,Short Track Speed Skating
1976,0.0,,,,,0,Short Track Speed Skating
1980,0.0,,,,,0,Short Track Speed Skating
1984,0.0,,,,,0,Short Track Speed Skating
1988,0.0,,,,,0,Short Track Speed Skating
1992,0.0,0.4758064516129032,0.0075549869006275,0.08,0.606884979425114,1,Short Track Speed Skating
1996,0.0,,,,,0,Short Track Speed Skating
2000,0.0,,,,,0,Short Track Speed Skating
2004,0.0,,,,,0,Short Track Speed Skating
2008,0.0,,,,,0,Short Track Speed Skating
2012,0.0,,,,,0,Short Track Speed Skating
2016,0.0,,,,,0,Short Track Speed Skating
2020,0.0,,,,,0,Short Track Speed Skating
2024,0.0,,,,,0,Short Track Speed Skating
1896,0.0,,,,,0,Skeleton
1900,0.0,,,,,0,Skeleton
1904,0.0,,,,,0,Skeleton
1906,0.0,,,,,0,Skeleton
1908,0.0,,,,,0,Skeleton
1912,0.0,,,,,0,Skeleton
1920,0.0,,,,,0,Skeleton
1924,0.0,,,,,0,Skeleton
1928,0.0,0.0,0.0017940437746681,0.03,0.375,1,Skeleton
1932,0.0,,,,,0,Skeleton
1936,0.0,,,,,0,Skeleton
1948,0.0,0.0,0.0020053475935828,0.03,0.4429890701127018,1,Skeleton
1952,0.0,,,,,0,Skeleton
1956,0.0,,,,,0,Skeleton
1960,0.0,,,,,0,Skeleton
1964,0.0,,,,,0,Skeleton
1968,0.0,,,,,0,Skeleton
1972,0.0,,,,,0,Skeleton
1976,0.0,,,,,0,Skeleton
1980,0.0,,,,,0,Skeleton
1984,0.0,,,,,0,Skeleton
1988,0.0,,,,,0,Skeleton
1992,0.0,,,,,0,Skeleton
1996,0.0,,,,,0,Skeleton
2000,0.0,,,,,0,Skeleton
2004,0.0,,,,,0,Skeleton
2008,0.0,,,,,0,Skeleton
2012,0.0,,,,,0,Skeleton
2016,0.0,,,,,0,Skeleton
2020,0.0,,,,,0,Skeleton
2024,0.0,,,,,0,Skeleton
1896,0.0,,,,,0,Ski Jumping
1900,0.0,,,,,0,Ski Jumping
1904,0.0,,,,,0,Ski Jumping
1906,0.0,,,,,0,Ski Jumping
1908,0.0,,,,,0,Ski Jumping
1912,0.0,,,,,0,Ski Jumping
1920,0.0,,,,,0,Ski Jumping
1924,0.0,,,,,1,Ski Jumping
1928,0.0,,,,,1,Ski Jumping
1932,0.0,,,,,1,Ski Jumping
1936,0.0,,,,,1,Ski Jumping
1948,0.0,,,,,1,Ski Jumping
1952,0.0,,,,,1,Ski Jumping
1956,0.0,,,,,1,Ski Jumping
1960,0.0,,,,,1,Ski Jumping
1964,0.0,,,,,1,Ski Jumping
1968,0.0,,,,,1,Ski Jumping
1972,0.0,,,,,1,Ski Jumping
1976,0.0,,,,,1,Ski Jumping
1980,0.0,,,,,1,Ski Jumping
1984,0.0,,,,,1,Ski Jumping
1988,0.0,,,,,1,Ski Jumping
1992,0.0,,,,,1,Ski Jumping
1996,0.0,,,,,0,Ski Jumping
2000,0.0,,,,,0,Ski Jumping
2004,0.0,,,,,0,Ski Jumping
2008,0.0,,,,,0,Ski Jumping
2012,0.0,,,,,0,Ski Jumping
2016,0.0,,,,,0,Ski Jumping
2020,0.0,,,,,0,Ski Jumping
2024,0.0,,,,,0,Ski Jumping
1896,0.0,,,,,0,Snowboarding
1900,0.0,,,,,0,Snowboarding
1904,0.0,,,,,0,Snowboarding
1906,0.0,,,,,0,Snowboarding
1908,0.0,,,,,0,Snowboarding
1912,0.0,,,,,0,Snowboarding
1920,0.0,,,,,0,Snowboarding
1924,0.0,,,,,0,Snowboarding
1928,0.0,,,,,0,Snowboarding
1932,0.0,,,,,0,Snowboarding
1936,0.0,,,,,0,Snowboarding
1948,0.0,,,,,0,Snowboarding
1952,0.0,,,,,0,Snowboarding
1956,0.0,,,,,0,Snowboarding
1960,0.0,,,,,0,Snowboarding
1964,0.0,,,,,0,Snowboarding
1968,0.0,,,,,0,Snowboarding
1972,0.0,,,,,0,Snowboarding
1976,0.0,,,,,0,Snowboarding
1980,0.0,,,,,0,Snowboarding
1984,0.0,,,,,0,Snowboarding
1988,0.0,,,,,0,Snowboarding
1992,0.0,,,,,0,Snowboarding
1996,0.0,,,,,0,Snowboarding
2000,0.0,,,,,0,Snowboarding
2004,0.0,,,,,0,Snowboarding
2008,0.0,,,,,0,Snowboarding
2012,0.0,,,,,0,Snowboarding
2016,0.0,,,,,0,Snowboarding
2020,0.0,,,,,0,Snowboarding
2024,0.0,,,,,0,Snowboarding
1896,0.0,,,,,0,Softball
1900,0.0,,,,,0,Softball
1904,0.0,,,,,0,Softball
1906,0.0,,,,,0,Softball
1908,0.0,,,,,0,Softball
1912,0.0,,,,,0,Softball
1920,0.0,,,,,0,Softball
1924,0.0,,,,,0,Softball
1928,0.0,,,,,0,Softball
1932,0.0,,,,,0,Softball
1936,0.0,,,,,0,Softball
1948,0.0,,,,,0,Softball
1952,0.0,,,,,0,Softball
1956,0.0,,,,,0,Softball
1960,0.0,,,,,0,Softball
1964,0.0,,,,,0,Softball
1968,0.0,,,,,0,Softball
1972,0.0,,,,,0,Softball
1976,0.0,,,,,0,Softball
1980,0.0,,,,,0,Softball
1984,0.0,,,,,0,Softball
1988,0.0,,,,,0,Softball
1992,0.0,,,,,0,Softball
1996,0.0,,,,,1,Softball
2000,0.0,,,,,1,Softball
2004,0.0,,,,,1,Softball
2008,0.0,,,,,1,Softball
2012,0.0,,,,,0,Softball
2016,0.0,,,,,0,Softball
2020,0.0,,,,,0,Softball
2024,0.0,,,,,0,Softball
1896,0.0,,,,,0,Speed Skating
1900,0.0,,,,,0,Speed Skating
1904,0.0,,,,,0,Speed Skating
1906,0.0,,,,,0,Speed Skating
1908,0.0,,,,,0,Speed Skating
1912,0.0,,,,,0,Speed Skating
1920,0.0,,,,,0,Speed Skating
1924,0.0,,,,,1,Speed Skating
1928,0.0,,,,,1,Speed Skating
1932,0.0,,,,,1,Speed Skating
1936,0.0,,,,,1,Speed Skating
1948,0.0,,,,,1,Speed Skating
1952,0.0,,,,,1,Speed Skating
1956,0.0,,,,,1,Speed Skating
1960,0.0,,,,,1,Speed Skating
1964,0.0,,,,,1,Speed Skating
1968,0.0,,,,,1,Speed Skating
1972,0.0,,,,,1,Speed Skating
1976,0.0,,,,,1,Speed Skating
1980,0.0,,,,,1,Speed Skating
1984,0.0,,,,,1,Speed Skating
1988,0.0,,,,,1,Speed Skating
1992,0.0,,,,,1,Speed Skating
1996,0.0,,,,,0,Speed Skating
2000,0.0,,,,,0,Speed Skating
2004,0.0,,,,,0,Speed Skating
2008,0.0,,,,,0,Speed Skating
2012,0.0,,,,,0,Speed Skating
2016,0.0,,,,,0,Speed Skating
2020,0.0,,,,,0,Speed Skating
2024,0.0,,,,,0,Speed Skating
1896,0.0,,,,,1,Swimming
1900,0.0,,,,,1,Swimming
1904,0.0,,,,,1,Swimming
1906,0.0,,,,,1,Swimming
1908,0.0,,,,,1,Swimming
1912,0.0,,,,,1,Swimming
1920,0.0,,,,,1,Swimming
1924,0.0,,,,,1,Swimming
1928,0.0,,,,,1,Swimming
1932,0.0,,,,,1,Swimming
1936,0.0,,,,,1,Swimming
1948,0.0,,,,,1,Swimming
1952,0.0,,,,,1,Swimming
1956,0.0,,,,,1,Swimming
1960,0.0,,,,,1,Swimming
1964,0.0,,,,,1,Swimming
1968,0.0,,,,,1,Swimming
1972,1.0,,,,,1,Swimming
1976,0.0,,,,,1,Swimming
1980,0.0,,,,,1,Swimming
1984,0.0,,,,,1,Swimming
1988,0.0,,,,,1,Swimming
1992,0.0,,,,,1,Swimming
1996,0.0,,,,,1,Swimming
2000,0.0,,,,,1,Swimming
2004,0.0,,,,,1,Swimming
2008,0.0,,,,,1,Swimming
2012,1.0,,,,,1,Swimming
2016,2.0,,,,,1,Swimming
2020,0.0,,,,,1,Swimming
2024,1.0,,,,,1,Swimming
1896,0.0,,,,,0,Synchronized Swimming
1900,0.0,,,,,0,Synchronized Swimming
1904,0.0,,,,,0,Synchronized Swimming
1906,0.0,,,,,0,Synchronized Swimming
1908,0.0,,,,,0,Synchronized Swimming
1912,0.0,,,,,0,Synchronized Swimming
1920,0.0,,,,,0,Synchronized Swimming
1924,0.0,,,,,0,Synchronized Swimming
1928,0.0,,,,,0,Synchronized Swimming
1932,0.0,,,,,0,Synchronized Swimming
1936,0.0,,,,,0,Synchronized Swimming
1948,0.0,,,,,0,Synchronized Swimming
1952,0.0,,,,,0,Synchronized Swimming
1956,0.0,,,,,0,Synchronized Swimming
1960,0.0,,,,,0,Synchronized Swimming
1964,0.0,,,,,0,Synchronized Swimming
1968,0.0,,,,,0,Synchronized Swimming
1972,0.0,,,,,0,Synchronized Swimming
1976,0.0,,,,,0,Synchronized Swimming
1980,0.0,,,,,0,Synchronized Swimming
1984,0.0,,,,,1,Synchronized Swimming
1988,0.0,,,,,1,Synchronized Swimming
1992,0.0,,,,,1,Synchronized Swimming
1996,0.0,,,,,1,Synchronized Swimming
2000,0.0,,,,,1,Synchronized Swimming
2004,0.0,,,,,1,Synchronized Swimming
2008,0.0,,,,,1,Synchronized Swimming
2012,0.0,,,,,1,Synchronized Swimming
2016,0.0,,,,,1,Synchronized Swimming
2020,0.0,,,,,1,Synchronized Swimming
2024,0.0,,,,,0,Synchronized Swimming
1896,0.0,,,,,0,Table Tennis
1900,0.0,,,,,0,Table Tennis
1904,0.0,,,,,0,Table Tennis
1906,0.0,,,,,0,Table Tennis
1908,0.0,,,,,0,Table Tennis
1912,0.0,,,,,0,Table Tennis
1920,0.0,,,,,0,Table Tennis
1924,0.0,,,,,0,Table Tennis
1928,0.0,,,,,0,Table Tennis
1932,0.0,,,,,0,Table Tennis
1936,0.0,,,,,0,Table Tennis
1948,0.0,,,,,0,Table Tennis
1952,0.0,,,,,0,Table Tennis
1956,0.0,,,,,0,Table Tennis
1960,0.0,,,,,0,Table Tennis
1964,0.0,,,,,0,Table Tennis
1968,0.0,,,,,0,Table Tennis
1972,0.0,,,,,0,Table Tennis
1976,0.0,,,,,0,Table Tennis
1980,0.0,,,,,0,Table Tennis
1984,0.0,,,,,0,Table Tennis
1988,0.0,,,,,1,Table Tennis
1992,0.0,,,,,1,Table Tennis
1996,0.0,,,,,1,Table Tennis
2000,0.0,,,,,1,Table Tennis
2004,0.0,,,,,1,Table Tennis
2008,0.0,,,,,1,Table Tennis
2012,0.0,,,,,1,Table Tennis
2016,0.0,,,,,1,Table Tennis
2020,0.0,,,,,1,Table Tennis
2024,0.0,,,,,1,Table Tennis
1896,0.0,,,,,0,Taekwondo
1900,0.0,,,,,0,Taekwondo
1904,0.0,,,,,0,Taekwondo
1906,0.0,,,,,0,Taekwondo
1908,0.0,,,,,0,Taekwondo
1912,0.0,,,,,0,Taekwondo
1920,0.0,,,,,0,Taekwondo
1924,0.0,,,,,0,Taekwondo
1928,0.0,,,,,0,Taekwondo
1932,0.0,,,,,0,Taekwondo
1936,0.0,,,,,0,Taekwondo
1948,0.0,,,,,0,Taekwondo
1952,0.0,,,,,0,Taekwondo
1956,0.0,,,,,0,Taekwondo
1960,0.0,,,,,0,Taekwondo
1964,0.0,,,,,0,Taekwondo
1968,0.0,,,,,0,Taekwondo
1972,0.0,,,,,0,Taekwondo
1976,0.0,,,,,0,Taekwondo
1980,0.0,,,,,0,Taekwondo
1984,0.0,,,,,0,Taekwondo
1988,0.0,,,,,0,Taekwondo
1992,0.0,,,,,0,Taekwondo
1996,0.0,,,,,0,Taekwondo
2000,0.0,,,,,1,Taekwondo
2004,0.0,,,,,1,Taekwondo
2008,0.0,,,,,1,Taekwondo
2012,0.0,,,,,1,Taekwondo
2016,0.0,,,,,1,Taekwondo
2020,0.0,,,,,1,Taekwondo
2024,0.0,,,,,1,Taekwondo
1896,0.0,,,,,1,Tennis
1900,0.0,,,,,1,Tennis
1904,0.0,,,,,1,Tennis
1906,0.0,,,,,1,Tennis
1908,0.0,,,,,1,Tennis
1912,0.0,,,,,1,Tennis
1920,0.0,,,,,1,Tennis
1924,0.0,,,,,1,Tennis
1928,0.0,,,,,0,Tennis
1932,0.0,,,,,0,Tennis
1936,0.0,,,,,0,Tennis
1948,0.0,,,,,0,Tennis
1952,0.0,,,,,0,Tennis
1956,0.0,,,,,0,Tennis
1960,0.0,,,,,0,Tennis
1964,0.0,,,,,0,Tennis
1968,0.0,,,,,0,Tennis
1972,0.0,,,,,0,Tennis
1976,0.0,,,,,0,Tennis
1980,0.0,,,,,0,Tennis
1984,0.0,,,,,0,Tennis
1988,0.0,,,,,1,Tennis
1992,0.0,,,,,1,Tennis
1996,0.0,,,,,1,Tennis
2000,0.0,,,,,1,Tennis
2004,0.0,,,,,1,Tennis
2008,0.0,,,,,1,Tennis
2012,0.0,,,,,1,Tennis
2016,0.0,,,,,1,Tennis
2020,0.0,,,,,1,Tennis
2024,0.0,,,,,1,Tennis
1896,0.0,,,,,0,Trampolining
1900,0.0,,,,,0,Trampolining
1904,0.0,,,,,0,Trampolining
1906,0.0,,,,,0,Trampolining
1908,0.0,,,,,0,Trampolining
1912,0.0,,,,,0,Trampolining
1920,0.0,,,,,0,Trampolining
1924,0.0,,,,,0,Trampolining
1928,0.0,,,,,0,Trampolining
1932,0.0,,,,,0,Trampolining
1936,0.0,,,,,0,Trampolining
1948,0.0,,,,,0,Trampolining
1952,0.0,,,,,0,Trampolining
1956,0.0,,,,,0,Trampolining
1960,0.0,,,,,0,Trampolining
1964,0.0,,,,,0,Trampolining
1968,0.0,,,,,0,Trampolining
1972,0.0,,,,,0,Trampolining
1976,0.0,,,,,0,Trampolining
1980,0.0,,,,,0,Trampolining
1984,0.0,,,,,0,Trampolining
1988,0.0,,,,,0,Trampolining
1992,0.0,,,,,0,Trampolining
1996,0.0,,,,,0,Trampolining
2000,0.0,,,,,1,Trampolining
2004,0.0,,,,,1,Trampolining
2008,0.0,,,,,1,Trampolining
2012,0.0,,,,,1,Trampolining
2016,0.0,,,,,1,Trampolining
2020,0.0,,,,,0,Trampolining
2024,0.0,,,,,0,Trampolining
1896,0.0,,,,,0,Triathlon
1900,0.0,,,,,0,Triathlon
1904,0.0,,,,,0,Triathlon
1906,0.0,,,,,0,Triathlon
1908,0.0,,,,,0,Triathlon
1912,0.0,,,,,0,Triathlon
1920,0.0,,,,,0,Triathlon
1924,0.0,,,,,0,Triathlon
1928,0.0,,,,,0,Triathlon
1932,0.0,,,,,0,Triathlon
1936,0.0,,,,,0,Triathlon
1948,0.0,,,,,0,Triathlon
1952,0.0,,,,,0,Triathlon
1956,0.0,,,,,0,Triathlon
1960,0.0,,,,,0,Triathlon
1964,0.0,,,,,0,Triathlon
1968,0.0,,,,,0,Triathlon
1972,0.0,,,,,0,Triathlon
1976,0.0,,,,,0,Triathlon
1980,0.0,,,,,0,Triathlon
1984,0.0,,,,,0,Triathlon
1988,0.0,,,,,0,Triathlon
1992,0.0,,,,,0,Triathlon
1996,0.0,,,,,0,Triathlon
2000,0.0,,,,,1,Triathlon
2004,0.0,,,,,1,Triathlon
2008,0.0,,,,,1,Triathlon
2012,0.0,,,,,1,Triathlon
2016,0.0,,,,,1,Triathlon
2020,2.0,,,,,1,Triathlon
2024,0.0,,,,,1,Triathlon
1896,0.0,,,,,0,Tug-Of-War
1900,0.0,,,,,1,Tug-Of-War
1904,0.0,,,,,1,Tug-Of-War
1906,0.0,,,,,1,Tug-Of-War
1908,0.0,,,,,1,Tug-Of-War
1912,0.0,,,,,1,Tug-Of-War
1920,0.0,,,,,1,Tug-Of-War
1924,0.0,,,,,0,Tug-Of-War
1928,0.0,,,,,0,Tug-Of-War
1932,0.0,,,,,0,Tug-Of-War
1936,0.0,,,,,0,Tug-Of-War
1948,0.0,,,,,0,Tug-Of-War
1952,0.0,,,,,0,Tug-Of-War
1956,0.0,,,,,0,Tug-Of-War
1960,0.0,,,,,0,Tug-Of-War
1964,0.0,,,,,0,Tug-Of-War
1968,0.0,,,,,0,Tug-Of-War
1972,0.0,,,,,0,Tug-Of-War
1976,0.0,,,,,0,Tug-Of-War
1980,0.0,,,,,0,Tug-Of-War
1984,0.0,,,,,0,Tug-Of-War
1988,0.0,,,,,0,Tug-Of-War
1992,0.0,,,,,0,Tug-Of-War
1996,0.0,,,,,0,Tug-Of-War
2000,0.0,,,,,0,Tug-Of-War
2004,0.0,,,,,0,Tug-Of-War
2008,0.0,,,,,0,Tug-Of-War
2012,0.0,,,,,0,Tug-Of-War
2016,0.0,,,,,0,Tug-Of-War
2020,0.0,,,,,0,Tug-Of-War
2024,0.0,,,,,0,Tug-Of-War
1896,0.0,,,,,0,Volleyball
1900,0.0,,,,,0,Volleyball
1904,0.0,,,,,0,Volleyball
1906,0.0,,,,,0,Volleyball
1908,0.0,,,,,0,Volleyball
1912,0.0,,,,,0,Volleyball
1920,0.0,,,,,0,Volleyball
1924,0.0,,,,,0,Volleyball
1928,0.0,,,,,0,Volleyball
1932,0.0,,,,,0,Volleyball
1936,0.0,,,,,0,Volleyball
1948,0.0,,,,,0,Volleyball
1952,0.0,,,,,0,Volleyball
1956,0.0,,,,,0,Volleyball
1960,0.0,,,,,0,Volleyball
1964,0.0,,,,,1,Volleyball
1968,0.0,,,,,1,Volleyball
1972,0.0,,,,,1,Volleyball
1976,0.0,,,,,1,Volleyball
1980,0.0,,,,,1,Volleyball
1984,2.0,,,,,1,Volleyball
1988,0.0,,,,,1,Volleyball
1992,1.0,,,,,1,Volleyball
1996,0.0,,,,,1,Volleyball
2000,0.0,,,,,1,Volleyball
2004,0.0,,,,,1,Volleyball
2008,0.0,,,,,1,Volleyball
2012,0.0,,,,,1,Volleyball
2016,0.0,,,,,1,Volleyball
2020,1.0,,,,,1,Volleyball
2024,0.0,,,,,1,Volleyball
1896,0.0,,,,,0,Water Polo
1900,0.0,,,,,1,Water Polo
1904,0.0,,,,,1,Water Polo
1906,0.0,,,,,0,Water Polo
1908,0.0,,,,,1,Water Polo
1912,0.0,,,,,1,Water Polo
1920,0.0,,,,,1,Water Polo
1924,0.0,,,,,1,Water Polo
1928,0.0,,,,,1,Water Polo
1932,0.0,,,,,1,Water Polo
1936,0.0,,,,,1,Water Polo
1948,0.0,,,,,1,Water Polo
1952,0.0,,,,,1,Water Polo
1956,0.0,,,,,1,Water Polo
1960,0.0,,,,,1,Water Polo
1964,0.0,,,,,1,Water Polo
1968,0.0,,,,,1,Water Polo
1972,0.0,,,,,1,Water Polo
1976,0.0,,,,,1,Water Polo
1980,0.0,,,,,1,Water Polo
1984,0.0,,,,,1,Water Polo
1988,0.0,,,,,1,Water Polo
1992,0.0,,,,,1,Water Polo
1996,0.0,,,,,1,Water Polo
2000,0.0,,,,,1,Water Polo
2004,0.0,,,,,1,Water Polo
2008,0.0,,,,,1,Water Polo
2012,0.0,,,,,1,Water Polo
2016,0.0,,,,,1,Water Polo
2020,0.0,,,,,1,Water Polo
2024,0.0,,,,,1,Water Polo
1896,0.0,,,,,1,Weightlifting
1900,0.0,,,,,0,Weightlifting
1904,0.0,,,,,1,Weightlifting
1906,0.0,,,,,1,Weightlifting
1908,0.0,,,,,0,Weightlifting
1912,0.0,,,,,0,Weightlifting
1920,0.0,,,,,1,Weightlifting
1924,0.0,,,,,1,Weightlifting
1928,0.0,,,,,1,Weightlifting
1932,0.0,,,,,1,Weightlifting
1936,0.0,,,,,1,Weightlifting
1948,0.0,,,,,1,Weightlifting
1952,0.0,,,,,1,Weightlifting
1956,0.0,,,,,1,Weightlifting
1960,0.0,,,,,1,Weightlifting
1964,0.0,,,,,1,Weightlifting
1968,0.0,,,,,1,Weightlifting
1972,2.0,,,,,1,Weightlifting
1976,8.0,,,,,1,Weightlifting
1980,0.0,,,,,1,Weightlifting
1984,5.0,,,,,1,Weightlifting
1988,5.0,,,,,1,Weightlifting
1992,2.0,,,,,1,Weightlifting
1996,0.0,,,,,1,Weightlifting
2000,5.0,,,,,1,Weightlifting
2004,13.0,,,,,1,Weightlifting
2008,26.0,,,,,1,Weightlifting
2012,37.0,,,,,1,Weightlifting
2016,7.0,,,,,1,Weightlifting
2020,0.0,,,,,1,Weightlifting
2024,0.0,,,,,1,Weightlifting
1896,0.0,,,,,1,Wrestling
1900,0.0,,,,,0,Wrestling
1904,0.0,,,,,1,Wrestling
1906,0.0,,,,,1,Wrestling
1908,0.0,,,,,1,Wrestling
1912,0.0,,,,,1,Wrestling
1920,0.0,,,,,1,Wrestling
1924,0.0,,,,,1,Wrestling
1928,0.0,,,,,1,Wrestling
1932,0.0,,,,,1,Wrestling
1936,0.0,,,,,1,Wrestling
1948,0.0,,,,,1,Wrestling
1952,0.0,,,,,1,Wrestling
1956,0.0,,,,,1,Wrestling
1960,0.0,,,,,1,Wrestling
1964,0.0,,,,,1,Wrestling
1968,0.0,,,,,1,Wrestling
1972,0.0,,,,,1,Wrestling
1976,0.0,,,,,1,Wrestling
1980,0.0,,,,,1,Wrestling
1984,1.0,,,,,1,Wrestling
1988,1.0,,,,,1,Wrestling
1992,0.0,,,,,1,Wrestling
1996,0.0,,,,,1,Wrestling
2000,2.0,,,,,1,Wrestling
2004,1.0,,,,,1,Wrestling
2008,7.0,,,,,1,Wrestling
2012,4.0,,,,,1,Wrestling
2016,1.0,,,,,1,Wrestling
2020,0.0,,,,,1,Wrestling
2024,0.0,,,,,1,Wrestling
