,Sport_-1,equity_1896,equity_1900,equity_1904,equity_1906,equity_1908,equity_1912,equity_1920,equity_1924,equity_1928,equity_1932,equity_1936,equity_1948,equity_1952,equity_1956,equity_1960,equity_1964,equity_1968,equity_1972,equity_1976,equity_1980,equity_1984,equity_1988,equity_1992,equity_1996,equity_2000,equity_2004,equity_2008,equity_2012,equity_2016,equity_2020,equity_2024
0,Alpine Skiing,,,,,,,,,,,0.3592233009708738,0.2583333333333333,0.335978835978836,0.3573200992555831,0.403125,0.3284671532846715,0.3199052132701421,0.3846153846153846,0.3205128205128205,0.3761467889908257,0.3266832917705736,0.3607784431137724,0.348,,,,,,,,
1,Alpinism,,,,,,,,0.0,,0.0,0.5,,,,,,,,,,,,,,,,,,,,
2,Archery,,0.0,0.2285714285714285,,0.3246753246753247,,0.0,,,,,,,,,,,0.4210526315789473,0.421875,0.4328358208955223,0.4311926605504587,0.4163424124513619,0.4534412955465587,0.5,0.4854368932038835,0.5141509433962265,0.4845360824742268,0.5,0.5,0.5,0.5
3,Art Competitions,,,,,,0.0,0.0909090909090909,0.1037735849056603,0.068069306930693,0.1405693950177935,0.063960639606396,0.1656050955414012,,,,,,,,,,,,,,,,,,,
4,Athletics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1300403225806451,0.1532567049808429,0.1330685203574975,0.2245480494766888,0.2232142857142857,0.2132280355380059,0.2057926829268292,0.2569288389513108,0.2631970260223048,0.3001186239620403,0.323053199691596,0.2949526813880126,0.3028673835125448,0.3579049466537342,0.36952288218111,0.3755238893545683,0.4177471636952998,0.4602298850574712,0.4759358288770053,0.4815627743634767,0.4816586921850079,0.48,0.5
5,Badminton,,,,,,,,,,,,,,,,,,,,,,,0.4867256637168141,0.5057034220532319,0.5288888888888889,0.505,0.5163043478260869,0.5164835164835165,0.4971751412429379,0.5,0.5
6,Baseball,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
7,Basketball,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3380281690140845,0.3348837209302325,0.3333333333333333,0.3940677966101695,0.3983050847457627,0.5035211267605634,0.4965034965034965,0.4982578397212543,0.4982578397212543,0.4982578397212543,0.498220640569395,0.5,0.5
8,Basque Pelota,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Beach Volleyball,,,,,,,,,,,,,,,,,,,,,,,,0.4285714285714285,0.5,0.5,0.5,0.5,0.5,,0.5
10,Biathlon,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4048140043763676,,,,,,,,
11,Bobsleigh,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
12,Boxing,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127208480565371,0.127208480565371,0.3496503496503496,0.5
13,Canoeing,,,,,,,,,,,0.0,0.0719424460431654,0.0706521739130434,0.0684931506849315,0.1658767772511848,0.1976047904191616,0.1724137931034483,0.1699164345403899,0.1264705882352941,0.1383399209486166,0.197324414715719,0.25,0.24190800681431,0.2730434782608695,0.2299107142857142,0.2580645161290322,0.2752293577981651,0.3660287081339713,0.3673469387755102,0.5,0.5
14,Cricket,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Croquet,,0.3157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Cross Country Skiing,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.1063829787234042,0.2545454545454545,0.1805555555555555,0.2740963855421687,0.2674418604651162,0.3522388059701492,0.3139240506329114,0.3495145631067961,0.4025157232704403,0.3977272727272727,0.3933054393305439,,,,,,,,
17,Curling,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
18,Cycling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947368421052631,0.1254826254826254,0.1519434628975265,0.273972602739726,0.2705314009661835,0.2841091492776886,0.2822085889570552,0.3847376788553259,0.4002998500749625,0.4318181818181818,0.5
19,Diving,,,0.0,0.0,0.0,0.1627906976744186,0.2714285714285714,0.3111111111111111,0.3648648648648648,0.4166666666666667,0.4318181818181818,0.3809523809523809,0.3092783505154639,0.4390243902439024,0.375,0.4411764705882353,0.4220183486238532,0.4596774193548387,0.4952380952380952,0.4659090909090909,0.4455445544554455,0.4351851851851852,0.5089285714285714,0.4532374100719424,0.4831932773109244,0.5051020408163265,0.5,0.4861878453038674,0.5,0.5,0.5
20,Equestrianism,,0.0253164556962025,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228136882129277,0.0771812080536912,0.0326086956521739,0.1026785714285714,0.1802575107296137,0.1748466257668711,0.1829268292682926,0.1229508196721311,0.3131672597864768,0.3055555555555556,0.3044554455445544,0.2973760932944606,0.3389830508474576,0.3180592991913746,0.3852941176470588,0.3771428571428571,0.3690140845070422,0.5,0.5
21,Fencing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589622641509434,0.0627906976744186,0.0885416666666666,0.0737410071942446,0.076771653543307,0.0726915520628683,0.0827338129496402,0.1880199667221297,0.1787941787941788,0.1795918367346938,0.1943887775551102,0.2247422680412371,0.2429906542056074,0.2122641509433962,0.2075098814229249,0.2314410480349345,0.3969072164948453,0.3839541547277937,0.3684210526315789,0.4939759036144578,0.5043478260869565,0.5028901734104047,0.5,0.5
22,Figure Skating,,,,,0.3478260869565217,,0.4516129032258064,0.4594594594594595,0.5238095238095238,0.5365853658536586,0.5057471264367817,0.5633802816901409,0.5846153846153846,0.5423728813559322,0.5492957746478874,0.5340909090909091,0.5208333333333334,0.5147058823529411,0.5047619047619047,0.5294117647058824,0.5,0.5116279069767442,0.4962406015037593,,,,,,,,
23,Football,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3195876288659793,0.3171355498721228,0.3905882352941176,0.4157782515991471,0.4282655246252677,0.4291754756871035,0.4285714285714285,0.5
24,Freestyle Skiing,,,,,,,,,,,,,,,,,,,,,,,0.3380281690140845,,,,,,,,
25,Golf,,0.4545454545454545,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
26,Gymnastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0843373493975903,0.0,0.0675818373812038,0.0830188679245283,0.3872856545378503,0.4709748083242059,0.413516609392898,0.3194070080862534,0.392379679144385,0.4444444444444444,0.4169435215946844,0.4133949191685912,0.4075268817204301,0.428923582580115,0.4239043824701195,0.4123120973514674,0.4388111888111888,0.4404865334491746,0.4367469879518072,0.4504716981132075,0.4448315911730546,0.6481481481481481,0.3522012578616352
27,Handball,,,,,,,,,,,0.0,,,,,,,0.0,0.3374485596707819,0.3306451612903225,0.3166023166023166,0.395017793594306,0.386986301369863,0.3933333333333333,0.4520123839009288,0.4542682926829268,0.4985422740524781,0.4927953890489913,0.4985835694050991,0.5,0.5
28,Hockey,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4866310160427807,0.3356643356643357,0.3949044585987261,0.3980891719745223,0.4,0.4542857142857143,0.4545454545454545,0.4935400516795866,0.4935400516795866,0.4974358974358974,0.5,0.5
29,Ice Hockey,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
30,Jeu De Paume,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Judo,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.3764434180138568,0.3901808785529715,0.4045226130653266,0.4088541666666667,0.4041450777202072,0.3984375,0.390745501285347,0.5,0.5
32,Lacrosse,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Luge,,,,,,,,,,,,,,,,0.2,0.2452830188679245,0.205607476635514,0.2184873949579832,0.2765957446808511,0.3033707865168539,0.2448979591836734,0.2448979591836734,,,,,,,,
34,Military Ski Patrol,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
35,Modern Pentathlon,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
36,Motorboating,,,,,0.0588235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Nordic Combined,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
38,Polo,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
39,Racquets,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Rhythmic Gymnastics,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
41,Roque,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Rowing,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3511705685618729,0.3258196721311475,0.3849462365591398,0.344551282051282,0.3192133131618759,0.3478260869565217,0.3458110516934046,0.3488372093023256,0.3516873889875666,0.3581818181818181,0.3981818181818182,0.5,0.5
43,Rugby,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.5,
44,Rugby Sevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4949832775919732,,0.5
45,Sailing,,0.0107142857142857,,,0.015625,0.0,0.0099009900990099,0.0144927536231884,0.015625,0.0,0.0174418604651162,0.0,0.013215859030837,0.0,0.0034482758620689,0.0044444444444444,0.0,0.0,0.0038910505836575,0.0064102564102564,0.0066666666666666,0.1173333333333333,0.1904761904761904,0.2183406113537118,0.236318407960199,0.3466334164588528,0.3475,0.3746701846965699,0.4289473684210526,0.5,0.5
46,Shooting,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073170731707317,0.0084745762711864,0.024390243902439,0.0224719101123595,0.1706864564007421,0.3009174311926605,0.3173758865248227,0.3039215686274509,0.3756260434056761,0.3566308243727598,0.3708838821490468,0.4089285714285714,0.3855855855855856,0.5,0.5
47,Short Track Speed Skating,,,,,,,,,,,,,,,,,,,,,,,0.4758064516129032,,,,,,,,
48,Skeleton,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
49,Ski Jumping,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
50,Snowboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Softball,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,
52,Speed Skating,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534136546184739,0.397212543554007,0.4035714285714286,0.4713114754098361,0.4291497975708502,0.4324324324324324,0.3932926829268293,0.4263803680981595,0.4322033898305085,,,,,,,,
53,Swimming,0.0,0.0,0.0,0.0,0.0,0.2139303482587064,0.2248803827751196,0.3155893536121673,0.3884892086330935,0.3948717948717948,0.3708791208791209,0.364321608040201,0.3768115942028985,0.4353932584269663,0.3952380952380952,0.3736413043478261,0.4346060113728676,0.4560570071258907,0.4693308550185873,0.4270696452036793,0.3701298701298701,0.4014869888475836,0.4074303405572755,0.4862385321100917,0.4325100516944284,0.453646477132262,0.4745568896512293,0.5039011703511054,0.4853316326530612,0.5,0.5
54,Synchronized Swimming,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
55,Table Tennis,,,,,,,,,,,,,,,,,,,,,,0.3786407766990291,0.5,0.49800796812749,0.4925373134328358,0.5076923076923077,0.5,0.5042372881355932,0.5,0.5,0.5
56,Taekwondo,,,,,,,,,,,,,,,,,,,,,,,,,0.4705882352941176,0.4838709677419355,0.5,0.5,0.5079365079365079,0.5,0.5
57,Tennis,0.0,0.2553191489361702,0.0,0.2291666666666666,0.1428571428571428,0.1734104046242774,0.3398692810457516,0.2924901185770751,,,,,,,,,,,,,,0.3762376237623762,0.504,0.4878048780487805,0.5080645161290323,0.5079365079365079,0.4960629921259842,0.4965034965034965,0.5,0.5,0.5
58,Trampolining,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,
59,Triathlon,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.5050505050505051,0.5,0.5,0.5,0.5,0.5
60,Tug-Of-War,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
61,Volleyball,,,,,,,,,,,,,,,,0.3798882681564245,0.4223300970873786,0.3939393939393939,0.4444444444444444,0.4411764705882353,0.4326923076923077,0.3974895397489539,0.3852813852813853,0.4872727272727272,0.4946236559139785,0.4946996466431095,0.4946996466431095,0.4982578397212543,0.5017667844522968,0.5,0.5
62,Water Polo,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376623376623376,0.396078431372549,0.40234375,0.3968871595330739,0.4031007751937984,0.4545454545454545,0.5454545454545454
63,Weightlifting,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3455284552845528,0.3413654618473896,0.3438735177865613,0.4087301587301587,0.403921568627451,0.5,0.5
64,Wrestling,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1461988304093567,0.1924198250728863,0.2241887905604719,0.3236994219653179,0.3333333333333333,0.6666666666666666
65,climbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Headis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
